,peak_lag
peak_lag,1.0
soil_porosity,0.1504705253745167
geol_porostiy,0.0504282817358298
frac_forest,0.04066410389907249
baseflow_index,-0.01508677470146658
frac_snow,-0.03442226164595506
runoff_ratio,-0.04462592700048443
aridity,-0.04951927691352978
area_gages2,-0.054770156842275264
p_mean,-0.06279121088336183
elev_mean,-0.07556264367852204
slope_mean,-0.10740513051116113
soil_conductivity,-0.14357920703502366
geol_permeability,-0.18108523027456017
pet_mean,-0.18798182309670308
