high_prec_timing,count,mean,median,std,attribute,low_prec_timing,geol_1st_class,geol_2nd_class,dom_land_cover
djf,214,0.009154366055162762,0.00683527028714005,0.006631311751965387,high_prec_timing,,,,
mam,124,0.004861278859950151,0.0036067315250369,0.0033996417150318936,high_prec_timing,,,,
jja,236,0.00480607240929731,0.0038016560144664,0.0032812330662717686,high_prec_timing,,,,
son,97,0.003967689472320186,0.0029440883818391,0.003133032599230835,high_prec_timing,,,,
,234,0.009069833628320147,0.00689842637941535,0.006500669376917219,low_prec_timing,jja,,,
,64,0.005893056437147569,0.00533816228615015,0.0026890113153154966,low_prec_timing,mam,,,
,243,0.004247667934706542,0.0033221911143624,0.0030993882897338045,low_prec_timing,son,,,
,130,0.004225014559306341,0.00307926185827705,0.003173915356241304,low_prec_timing,djf,,,
,40,0.011093099960921771,0.01134982443849635,0.006455192592598303,geol_1st_class,,Basic volcanic rocks,,
,4,0.0108086003162977,0.01011772331674875,0.0019392557554546617,geol_1st_class,,Intermediate volcanic rocks,,
,42,0.0077297322928241196,0.0063287397904137,0.005132383516811287,geol_1st_class,,Acid plutonic rocks,,
,4,0.00681579989460425,0.0070558312281881,0.0024581746846904385,geol_1st_class,,Intermediate plutonic rocks,,
,229,0.006467404186165687,0.0044294176421273,0.005832040279214833,geol_1st_class,,Siliciclastic sedimentary rocks,,
,125,0.005461159248108167,0.0042756908047618,0.004062251407509884,geol_1st_class,,Unconsolidated sediments,,
,2,0.00545341330402465,0.00545341330402465,0.0005776028795775323,geol_1st_class,,Pyroclastics,,
,1,0.0053609215315547,0.0053609215315547,,geol_1st_class,,Basic plutonic rocks,,
,106,0.004889515628405702,0.00355736692632415,0.003894328893908258,geol_1st_class,,Metamorphics,,
,81,0.004816235629912183,0.0034618676154188,0.003721497660798757,geol_1st_class,,Carbonate sedimentary rocks,,
,12,0.004255255425238291,0.00418704183063985,0.0019406279016876968,geol_1st_class,,Acid volcanic rocks,,
,25,0.004105860229878532,0.0030411269072801,0.003498477975610753,geol_1st_class,,Mixed sedimentary rocks,,
,38,0.010829291746951944,0.0084241686648952,0.008312688763544704,geol_2nd_class,,,Basic volcanic rocks,
,11,0.010244730764643446,0.0079138877401053,0.007958029119814101,geol_2nd_class,,,Basic plutonic rocks,
,10,0.01007745752690407,0.0103455410522854,0.005215825149876442,geol_2nd_class,,,Intermediate volcanic rocks,
,91,0.007606754317250067,0.0061011876258187,0.006417299165829356,geol_2nd_class,,,Unconsolidated sediments,
,46,0.00701445934522658,0.0058306853634623994,0.004463727447090015,geol_2nd_class,,,Metamorphics,
,10,0.00660554604769794,0.0047738063711153505,0.006462959092796174,geol_2nd_class,,,Intermediate plutonic rocks,
,6,0.006410530446121217,0.0044440938130827,0.006023868775158164,geol_2nd_class,,,Acid volcanic rocks,
,51,0.005844799671242818,0.0042684889069879,0.00475892974277221,geol_2nd_class,,,Acid plutonic rocks,
,123,0.005471179955840636,0.0039044479517116,0.004107314634509957,geol_2nd_class,,,Siliciclastic sedimentary rocks,
,16,0.005318617738203325,0.00301912273246615,0.004931764204584716,geol_2nd_class,,,Water bodies,
,67,0.005133485900315912,0.0044972449123789,0.0029699598131973895,geol_2nd_class,,,Carbonate sedimentary rocks,
,62,0.004843947534572743,0.00333170713298865,0.004179400227044511,geol_2nd_class,,,Mixed sedimentary rocks,
,2,0.00320189463731525,0.00320189463731525,0.0008145337286880026,geol_2nd_class,,,Pyroclastics,
,110,0.01199832054365982,0.0103063727718398,0.007019261308267766,dom_land_cover,,,,    Evergreen Needleleaf Forest
,89,0.005994512777535167,0.0043703891399769,0.0046188703135374275,dom_land_cover,,,,    Mixed Forests
,64,0.005561300415719831,0.004801492238196399,0.0036636861850642137,dom_land_cover,,,,    Woody Savannas
,4,0.0053632586906518995,0.00487399047359075,0.0014475822168237417,dom_land_cover,,,,    Closed Shrublands
,110,0.00533320008169554,0.0037034690361916,0.004069338849810608,dom_land_cover,,,,    Grasslands
,1,0.0051447799011211,0.0051447799011211,,dom_land_cover,,,,    Barren or Sparsely Vegetated
,63,0.0047735345298714,0.0036923419385041,0.003396501686456649,dom_land_cover,,,,    Croplands
,5,0.00475560966394066,0.0050204199715904,0.002330612055839088,dom_land_cover,,,,    Savannas
,5,0.0046823408352513396,0.0039044479517116,0.0031834156559148387,dom_land_cover,,,,    Evergreen Broadleaf Forest
,87,0.004651107704220943,0.0035699889173656,0.003124309361727841,dom_land_cover,,,,    cropland/natural vegetation mosaic
,122,0.00385005932813095,0.0030741600408249,0.002574649368865878,dom_land_cover,,,,    Deciduous Broadleaf Forest
,11,0.003286899855572673,0.0030371045609284,0.0016784949011875714,dom_land_cover,,,,    Open Shrublands
