attribute,PRCP_r_TE_all,PRCP_n_TE_all,PRCP_r_lag_all,PRCP_n_lag_all,PRCP_r_TE_dom,PRCP_n_TE_dom,PRCP_r_lag_dom,PRCP_n_lag_dom,SRAD_r_TE_all,SRAD_n_TE_all,SRAD_r_lag_all,SRAD_n_lag_all,SRAD_r_TE_dom,SRAD_n_TE_dom,SRAD_r_lag_dom,SRAD_n_lag_dom,Tair_r_TE_all,Tair_n_TE_all,Tair_r_lag_all,Tair_n_lag_all,Tair_r_TE_dom,Tair_n_TE_dom,Tair_r_lag_dom,Tair_n_lag_dom,VP_r_TE_all,VP_n_TE_all,VP_r_lag_all,VP_n_lag_all,VP_r_TE_dom,VP_n_TE_dom,VP_r_lag_dom,VP_n_lag_dom
p_mean,0.588,670,-0.212,670,0.627,389,-0.094,389,0.361,653,-0.211,653,0.186,156,-0.225,156,0.217,593,-0.064,593,-0.14,95,0.235,95,0.151,577,0.08,577,0.029,31,0.542,31
pet_mean,-0.191,670,0.108,670,-0.331,389,0.013,389,-0.139,653,-0.186,653,-0.082,156,-0.166,156,-0.216,593,0.123,593,0.173,95,-0.076,95,-0.212,577,0.027,577,-0.143,31,0.057,31
p_seasonality,-0.366,670,0.039,670,-0.37,389,0.009,389,-0.48,653,0.327,653,-0.545,156,0.475,156,-0.338,593,0.191,593,-0.453,95,0.193,95,-0.249,577,0.197,577,-0.502,31,-0.339,31
frac_snow,-0.112,670,0.267,670,0.141,389,0.127,389,0.382,653,-0.056,653,0.55,156,-0.249,156,0.48,593,-0.407,593,0.71,95,-0.577,95,0.48,577,-0.322,577,0.758,31,-0.196,31
aridity,-0.337,670,0.256,670,-0.434,389,0.068,389,-0.197,653,0.056,653,-0.183,156,0.198,156,-0.18,593,-0.019,593,0.17,95,-0.187,95,-0.174,577,-0.151,577,0.098,31,-0.314,31
high_prec_freq,-0.368,670,0.055,670,-0.572,389,0.09,389,-0.48,653,0.149,653,-0.578,156,0.286,156,-0.512,593,0.299,593,-0.348,95,0.188,95,-0.454,577,0.062,577,-0.214,31,-0.271,31
high_prec_dur,0.241,670,0.011,670,0.189,389,0.061,389,0.288,653,-0.169,653,0.159,156,-0.109,156,0.141,593,-0.191,593,0.381,95,-0.421,95,0.049,577,-0.315,577,-0.289,31,-0.035,31
low_prec_freq,-0.405,670,0.108,670,-0.595,389,0.121,389,-0.404,653,0.102,653,-0.507,156,0.275,156,-0.448,593,0.177,593,-0.205,95,0.034,95,-0.397,577,-0.069,577,-0.272,31,-0.247,31
low_prec_dur,-0.053,670,0.033,670,-0.178,389,0.064,389,-0.039,653,-0.083,653,-0.138,156,0.067,156,-0.13,593,-0.052,593,0.122,95,-0.257,95,-0.176,577,-0.227,577,-0.255,31,-0.224,31
glim_1st_class_frac,-0.125,670,0.021,670,-0.133,389,0.047,389,-0.22,653,0.069,653,-0.278,156,0.059,156,-0.218,593,0.271,593,-0.349,95,0.34,95,-0.168,577,0.2,577,0.095,31,0.087,31
