attribute,forcing,r_peak_TE,n_peak_TE,r_peak_lag,n_peak_lag
p_mean,PRCP,0.588,670,-0.212,670
p_mean,SRAD,0.361,653,-0.211,653
p_mean,Tair,0.217,593,-0.064,593
p_mean,VP,0.151,577,0.08,577
pet_mean,PRCP,-0.191,670,0.108,670
pet_mean,SRAD,-0.139,653,-0.186,653
pet_mean,Tair,-0.216,593,0.123,593
pet_mean,VP,-0.212,577,0.027,577
p_seasonality,PRCP,-0.366,670,0.039,670
p_seasonality,SRAD,-0.48,653,0.327,653
p_seasonality,Tair,-0.338,593,0.191,593
p_seasonality,VP,-0.249,577,0.197,577
frac_snow,PRCP,-0.112,670,0.267,670
frac_snow,SRAD,0.382,653,-0.056,653
frac_snow,Tair,0.48,593,-0.407,593
frac_snow,VP,0.48,577,-0.322,577
aridity,PRCP,-0.337,670,0.256,670
aridity,SRAD,-0.197,653,0.056,653
aridity,Tair,-0.18,593,-0.019,593
aridity,VP,-0.174,577,-0.151,577
high_prec_freq,PRCP,-0.368,670,0.055,670
high_prec_freq,SRAD,-0.48,653,0.149,653
high_prec_freq,Tair,-0.512,593,0.299,593
high_prec_freq,VP,-0.454,577,0.062,577
high_prec_dur,PRCP,0.241,670,0.011,670
high_prec_dur,SRAD,0.288,653,-0.169,653
high_prec_dur,Tair,0.141,593,-0.191,593
high_prec_dur,VP,0.049,577,-0.315,577
low_prec_freq,PRCP,-0.405,670,0.108,670
low_prec_freq,SRAD,-0.404,653,0.102,653
low_prec_freq,Tair,-0.448,593,0.177,593
low_prec_freq,VP,-0.397,577,-0.069,577
low_prec_dur,PRCP,-0.053,670,0.033,670
low_prec_dur,SRAD,-0.039,653,-0.083,653
low_prec_dur,Tair,-0.13,593,-0.052,593
low_prec_dur,VP,-0.176,577,-0.227,577
glim_1st_class_frac,PRCP,-0.125,670,0.021,670
glim_1st_class_frac,SRAD,-0.22,653,0.069,653
glim_1st_class_frac,Tair,-0.218,593,0.271,593
glim_1st_class_frac,VP,-0.168,577,0.2,577
