attribute,forcing,n_basins,r_peak_TE,n_peak_TE,r_peak_lag,n_peak_lag
p_mean,PRCP,389,0.627,389,-0.094,389
p_mean,SRAD,156,0.186,156,-0.225,156
p_mean,Tair,95,-0.14,95,0.235,95
p_mean,VP,31,0.029,31,0.542,31
pet_mean,PRCP,389,-0.331,389,0.013,389
pet_mean,SRAD,156,-0.082,156,-0.166,156
pet_mean,Tair,95,0.173,95,-0.076,95
pet_mean,VP,31,-0.143,31,0.057,31
p_seasonality,PRCP,389,-0.37,389,0.009,389
p_seasonality,SRAD,156,-0.545,156,0.475,156
p_seasonality,Tair,95,-0.453,95,0.193,95
p_seasonality,VP,31,-0.502,31,-0.339,31
frac_snow,PRCP,389,0.141,389,0.127,389
frac_snow,SRAD,156,0.55,156,-0.249,156
frac_snow,Tair,95,0.71,95,-0.577,95
frac_snow,VP,31,0.758,31,-0.196,31
aridity,PRCP,389,-0.434,389,0.068,389
aridity,SRAD,156,-0.183,156,0.198,156
aridity,Tair,95,0.17,95,-0.187,95
aridity,VP,31,0.098,31,-0.314,31
high_prec_freq,PRCP,389,-0.572,389,0.09,389
high_prec_freq,SRAD,156,-0.578,156,0.286,156
high_prec_freq,Tair,95,-0.348,95,0.188,95
high_prec_freq,VP,31,-0.214,31,-0.271,31
high_prec_dur,PRCP,389,0.189,389,0.061,389
high_prec_dur,SRAD,156,0.159,156,-0.109,156
high_prec_dur,Tair,95,0.381,95,-0.421,95
high_prec_dur,VP,31,-0.289,31,-0.035,31
low_prec_freq,PRCP,389,-0.595,389,0.121,389
low_prec_freq,SRAD,156,-0.507,156,0.275,156
low_prec_freq,Tair,95,-0.205,95,0.034,95
low_prec_freq,VP,31,-0.272,31,-0.247,31
low_prec_dur,PRCP,389,-0.178,389,0.064,389
low_prec_dur,SRAD,156,-0.138,156,0.067,156
low_prec_dur,Tair,95,0.122,95,-0.257,95
low_prec_dur,VP,31,-0.255,31,-0.224,31
glim_1st_class_frac,PRCP,389,-0.133,389,0.047,389
glim_1st_class_frac,SRAD,156,-0.278,156,0.059,156
glim_1st_class_frac,Tair,95,-0.349,95,0.34,95
glim_1st_class_frac,VP,31,0.095,31,0.087,31
glim_2nd_class_frac,PRCP,389,0.126,389,-0.051,389
glim_2nd_class_frac,SRAD,156,0.187,156,0.017,156
glim_2nd_class_frac,Tair,95,0.243,95,-0.218,95
glim_2nd_class_frac,VP,31,-0.082,31,-0.072,31
carbonate_rocks_frac,PRCP,389,-0.182,389,-0.032,389
carbonate_rocks_frac,SRAD,156,-0.003,156,0.192,156
