attribute,correlation_with_peak_TE,abs_correlation,rank
q95,0.6553653714731565,0.6553653714731565,1
q_mean,0.6151146119822779,0.6151146119822779,2
runoff_ratio,0.5474909376120489,0.5474909376120489,3
p_mean,0.5264003834168107,0.5264003834168107,4
high_prec_freq,-0.482158358940571,0.482158358940571,5
low_prec_freq,-0.4692545316995049,0.4692545316995049,6
p_seasonality,-0.41852755598463887,0.41852755598463887,7
q5,0.4161040285827553,0.4161040285827553,8
slope_mean,0.3405039933365289,0.3405039933365289,9
aridity,-0.3071917934853556,0.3071917934853556,10
gvf_diff,-0.30094504956017376,0.30094504956017376,11
slope_fdc,0.27488612954559344,0.27488612954559344,12
stream_elas,-0.2671588053263691,0.2671588053263691,13
frac_forest,0.2480200097326018,0.2480200097326018,14
high_prec_dur,0.24537238940774347,0.24537238940774347,15
pet_mean,-0.19588102336623497,0.19588102336623497,16
glim_1st_class_frac,-0.18630126015904724,0.18630126015904724,17
hfd_mean,-0.1689199785348777,0.1689199785348777,18
glim_2nd_class_frac,0.16747801729804387,0.16747801729804387,19
frac_snow,0.1564824473299939,0.1564824473299939,20
clay_frac,-0.1489554094441539,0.1489554094441539,21
zero_q_freq,-0.14397738169394844,0.14397738169394844,22
baseflow_index,0.14391662964731516,0.14391662964731516,23
gvf_max,0.12418286404233701,0.12418286404233701,24
carbonate_rocks_frac,-0.11707325129754871,0.11707325129754871,25
high_q_freq,-0.10255931345873287,0.10255931345873287,26
soil_conductivity,0.09593769069944197,0.09593769069944197,27
sand_frac,0.09352249132807101,0.09352249132807101,28
other_frac,0.09204445457003835,0.09204445457003835,29
high_q_dur,-0.09165340608419968,0.09165340608419968,30
low_prec_dur,-0.088812967303947,0.088812967303947,31
low_q_freq,-0.08538215742310386,0.08538215742310386,32
lai_max,0.08453728495065436,0.08453728495065436,33
lai_diff,-0.07907116402288411,0.07907116402288411,34
dom_land_cover_frac,0.07690037031919547,0.07690037031919547,35
elev_mean,0.07162557679263586,0.07162557679263586,36
soil_porosity,-0.06274887637406233,0.06274887637406233,37
area_gages2,0.04710695300711218,0.04710695300711218,38
geol_permeability,0.04554012877426865,0.04554012877426865,39
area_geospa_fabric,0.04298590525323056,0.04298590525323056,40
soil_depth_pelletier,-0.03390482462766588,0.03390482462766588,41
geol_porostiy,0.03217577843395097,0.03217577843395097,42
root_depth_50,-0.028755999196126706,0.028755999196126706,43
soil_depth_statsgo,0.023259797413327586,0.023259797413327586,44
organic_frac,0.022276569284712833,0.022276569284712833,45
max_water_content,-0.021613728988318683,0.021613728988318683,46
low_q_dur,-0.011717207937329954,0.011717207937329954,47
root_depth_99,-0.0018793210682941672,0.0018793210682941672,48
silt_frac,-0.001538071212698982,0.001538071212698982,49
water_frac,0.0006946230554363898,0.0006946230554363898,50
