forcing,attribute,correlation
PRCP,p_mean,0.5881735673324521
PRCP,pet_mean,-0.1922927655673092
PRCP,p_seasonality,-0.3651185400205585
PRCP,frac_snow,-0.11390592131631125
PRCP,aridity,-0.33747867474156795
PRCP,high_prec_freq,-0.3671034560213973
PRCP,high_prec_dur,0.24032556798670984
PRCP,low_prec_freq,-0.4043076414978503
PRCP,low_prec_dur,-0.052660619431965594
PRCP,glim_1st_class_frac,-0.12205655272072362
PRCP,glim_2nd_class_frac,0.13316092702255986
PRCP,carbonate_rocks_frac,-0.10924681002561973
PRCP,geol_porostiy,0.08432998176867632
PRCP,geol_permeability,0.05242974193212691
PRCP,q_mean,0.6122362816944287
PRCP,runoff_ratio,0.4408141522354502
PRCP,slope_fdc,0.2885419635924496
PRCP,baseflow_index,0.05828592993058385
PRCP,stream_elas,-0.17638593818212117
PRCP,q5,0.39857564104027293
PRCP,q95,0.6237321392877424
PRCP,high_q_freq,-0.10468720996442572
PRCP,high_q_dur,-0.1645154638759882
PRCP,low_q_freq,-0.038950328156189075
PRCP,low_q_dur,0.003851610961385017
PRCP,zero_q_freq,-0.10102738856859507
PRCP,hfd_mean,-0.3607550027101929
PRCP,soil_depth_pelletier,0.053888378797502155
PRCP,soil_depth_statsgo,0.03172847172152484
PRCP,soil_porosity,-0.029761516799629233
PRCP,soil_conductivity,0.09047076630800296
PRCP,max_water_content,0.008768663477443844
PRCP,sand_frac,0.06493268381116125
PRCP,silt_frac,-0.005753534881361439
PRCP,clay_frac,-0.07383074396458798
PRCP,water_frac,-0.012005085397164087
PRCP,organic_frac,0.03887997069214282
PRCP,other_frac,-0.00947089596948814
PRCP,elev_mean,-0.17316608351155435
PRCP,slope_mean,0.17557429243425954
PRCP,area_gages2,0.04142159361872909
PRCP,area_geospa_fabric,0.037073231896249316
PRCP,frac_forest,0.21624297897412192
PRCP,lai_max,0.17365312591902987
PRCP,lai_diff,-0.0057274217862892125
PRCP,gvf_max,0.22393146547349088
PRCP,gvf_diff,-0.26009146201634
PRCP,dom_land_cover_frac,0.06951241125582557
PRCP,root_depth_50,0.09314371452675108
PRCP,root_depth_99,0.06521391992942499
SRAD,p_mean,0.3600941523926787
SRAD,pet_mean,-0.13473348523948828
SRAD,p_seasonality,-0.4855583113598915
SRAD,frac_snow,0.3843337741174821
SRAD,aridity,-0.19631323499811323
SRAD,high_prec_freq,-0.48001648343558
SRAD,high_prec_dur,0.29090829076013713
SRAD,low_prec_freq,-0.4022291235784392
SRAD,low_prec_dur,-0.03713278147924585
SRAD,glim_1st_class_frac,-0.22380918592610669
SRAD,glim_2nd_class_frac,0.17534423924118844
SRAD,carbonate_rocks_frac,-0.12044382124546503
SRAD,geol_porostiy,-0.07102411950526745
SRAD,geol_permeability,0.02197799912121347
SRAD,q_mean,0.5144147502418618
SRAD,runoff_ratio,0.5682838323296555
SRAD,slope_fdc,0.2036461361450541
SRAD,baseflow_index,0.214345563536498
SRAD,stream_elas,-0.2782766858848588
SRAD,q5,0.31534480802111814
SRAD,q95,0.6000296221984045
SRAD,high_q_freq,-0.03581849474028724
SRAD,high_q_dur,0.04646030611376161
SRAD,low_q_freq,-0.08547809885693575
SRAD,low_q_dur,0.04485298296692296
SRAD,zero_q_freq,-0.12755151216168895
SRAD,hfd_mean,0.012628222322537134
SRAD,soil_depth_pelletier,-0.1954412197515765
SRAD,soil_depth_statsgo,-0.0527935821112223
SRAD,soil_porosity,-0.09109781657977532
SRAD,soil_conductivity,0.0568167150259351
SRAD,max_water_content,-0.09575810387159478
SRAD,sand_frac,0.09427152751274771
SRAD,silt_frac,-0.008613204858690458
SRAD,clay_frac,-0.16891806678574364
SRAD,water_frac,0.011990968869428603
SRAD,organic_frac,-0.020555726857728406
SRAD,other_frac,0.17593746050734624
SRAD,elev_mean,0.3366006954860262
SRAD,slope_mean,0.5064186981161679
SRAD,area_gages2,0.010498681710553568
SRAD,area_geospa_fabric,0.008137714836636405
SRAD,frac_forest,0.25638343378679646
SRAD,lai_max,-0.021470246465624867
SRAD,lai_diff,-0.17362658354805616
SRAD,gvf_max,-0.0070480358915669976
SRAD,gvf_diff,-0.3716957464149734
SRAD,dom_land_cover_frac,0.051646007297669175
SRAD,root_depth_50,-0.14287640655748596
SRAD,root_depth_99,-0.03680590355719132
Tair,p_mean,0.24636280130098648
Tair,pet_mean,-0.26927057571631646
Tair,p_seasonality,-0.37766264396061894
Tair,frac_snow,0.49880768296826594
Tair,aridity,-0.21385446797487945
Tair,high_prec_freq,-0.5376335909334897
Tair,high_prec_dur,0.12296108464100561
Tair,low_prec_freq,-0.4846250355360803
Tair,low_prec_dur,-0.1540385282027099
Tair,glim_1st_class_frac,-0.2071822827561297
Tair,glim_2nd_class_frac,0.151645384971453
Tair,carbonate_rocks_frac,-0.09979055034866606
Tair,geol_porostiy,-0.14919277842173176
Tair,geol_permeability,-0.08802622126886307
Tair,q_mean,0.41583850735087957
Tair,runoff_ratio,0.5651694296511377
Tair,slope_fdc,0.2502813231719413
Tair,baseflow_index,0.2522748717122069
Tair,stream_elas,-0.37518576945336785
Tair,q5,0.2827178483776187
Tair,q95,0.48646476732378424
Tair,high_q_freq,-0.10047128055698037
Tair,high_q_dur,-0.002013204926380801
Tair,low_q_freq,-0.15699672194312855
Tair,low_q_dur,-0.05563458820213791
Tair,zero_q_freq,-0.16234004052436912
Tair,hfd_mean,0.09192537930265834
Tair,soil_depth_pelletier,-0.19727235396152543
Tair,soil_depth_statsgo,-0.04359976094952114
Tair,soil_porosity,-0.03662099917322876
Tair,soil_conductivity,0.050188995165838295
Tair,max_water_content,-0.07525519737935876
Tair,sand_frac,0.08369648612644
Tair,silt_frac,0.07292199364571993
Tair,clay_frac,-0.2632696912297815
Tair,water_frac,0.0354421774310468
Tair,organic_frac,0.012424385991603403
Tair,other_frac,0.16801391115711506
Tair,elev_mean,0.3596443391993832
Tair,slope_mean,0.46680146549251794
Tair,area_gages2,0.03603113666582488
Tair,area_geospa_fabric,0.0348475536811319
Tair,frac_forest,0.28970969585376233
Tair,lai_max,0.02413083910414585
Tair,lai_diff,-0.04079062197318878
Tair,gvf_max,0.03632651087391356
Tair,gvf_diff,-0.14740637652136335
Tair,dom_land_cover_frac,0.08796600700824755
Tair,root_depth_50,-0.08491420981643802
Tair,root_depth_99,-0.02402650132203346
VP,p_mean,0.20287769780117182
VP,pet_mean,-0.20499660219718377
VP,p_seasonality,-0.25515915606347306
VP,frac_snow,0.4625418596274831
VP,aridity,-0.21728774117415672
VP,high_prec_freq,-0.4785396069343819
VP,high_prec_dur,0.002954916120481862
VP,low_prec_freq,-0.4333761685774124
VP,low_prec_dur,-0.2048760583933426
VP,glim_1st_class_frac,-0.15347213111209373
VP,glim_2nd_class_frac,0.12077972409263896
VP,carbonate_rocks_frac,-0.02584202483619291
VP,geol_porostiy,-0.12505144037083266
VP,geol_permeability,-0.052208008119314954
VP,q_mean,0.3329641679894107
VP,runoff_ratio,0.5011630755351026
VP,slope_fdc,0.22248973484805035
VP,baseflow_index,0.20628893942551696
VP,stream_elas,-0.33342725440609383
VP,q5,0.24422136672588352
VP,q95,0.3970968456399104
VP,high_q_freq,-0.09493094667975717
VP,high_q_dur,-0.015059645974749897
VP,low_q_freq,-0.13980201092563024
VP,low_q_dur,-0.07443660408909118
VP,zero_q_freq,-0.1709242718183303
VP,hfd_mean,0.19082051516849244
VP,soil_depth_pelletier,-0.13778720179969006
VP,soil_depth_statsgo,0.010891595388326432
