forcing,attribute,n,r
PRCP,p_mean,632,0.5845321814781208
PRCP,pet_mean,632,-0.2066446937803577
PRCP,p_seasonality,632,-0.36501550881113487
PRCP,frac_snow,632,-0.09286054749750543
PRCP,aridity,632,-0.3374759570962589
PRCP,high_prec_freq,632,-0.38203966800582045
PRCP,high_prec_dur,632,0.24431832968483674
PRCP,low_prec_freq,632,-0.411223403601254
PRCP,low_prec_dur,632,-0.054099493420468936
PRCP,glim_1st_class_frac,632,-0.1306598507599905
PRCP,glim_2nd_class_frac,632,0.14635966947174037
PRCP,carbonate_rocks_frac,632,-0.12075933418192583
PRCP,geol_porostiy,629,0.08994838786594814
PRCP,geol_permeability,632,0.0494958667555089
PRCP,q_mean,631,0.6115982764735018
PRCP,runoff_ratio,631,0.44446188700243705
PRCP,slope_fdc,631,0.28133667126434436
PRCP,baseflow_index,632,0.06365861624503318
PRCP,stream_elas,631,-0.18327749881692387
PRCP,q5,631,0.3924912302259626
PRCP,q95,631,0.6274441048402353
PRCP,high_q_freq,631,-0.10899092174227387
PRCP,high_q_dur,631,-0.15648898029373973
PRCP,low_q_freq,631,-0.040937660522707225
PRCP,low_q_dur,631,0.00786451564605
PRCP,zero_q_freq,631,-0.10828604818663934
PRCP,hfd_mean,631,-0.3601175362832041
PRCP,soil_depth_pelletier,632,0.040277341837412245
PRCP,soil_depth_statsgo,632,0.027202376077277275
PRCP,soil_porosity,632,-0.02860709662390561
PRCP,soil_conductivity,632,0.0805537815221203
PRCP,max_water_content,632,-0.008078426275429096
PRCP,sand_frac,632,0.05276176090575224
PRCP,silt_frac,632,0.002371199775862254
PRCP,clay_frac,632,-0.08304108030850213
PRCP,water_frac,632,-0.013604208978091179
PRCP,organic_frac,632,0.03110483271509068
PRCP,other_frac,632,-0.006971840451746694
PRCP,elev_mean,632,-0.1582393340685998
PRCP,slope_mean,632,0.19077156833299866
PRCP,area_gages2,632,0.04748916938356861
PRCP,area_geospa_fabric,632,0.04330165667253502
PRCP,frac_forest,632,0.21491176174709598
PRCP,lai_max,632,0.1715284917218602
PRCP,lai_diff,632,-0.00783298448499888
