forcing,attribute,n_tau,r_tau,n_TE,r_TE
PRCP,p_mean,670,-0.11268851932350551,670,0.3155081571791582
PRCP,pet_mean,670,0.10127077032968021,670,-0.20492889238349868
PRCP,p_seasonality,670,-0.2555044389308563,670,-0.289451016735889
PRCP,frac_snow,670,0.30537977602729416,670,0.15629511683076647
PRCP,aridity,670,0.2593891223790858,670,-0.24981582820279535
PRCP,high_prec_freq,670,0.008435271924372677,670,-0.3631380261180746
PRCP,high_prec_dur,670,0.2823297345650442,670,0.11847323943101112
PRCP,low_prec_freq,670,0.09772795538700796,670,-0.3799615165603679
PRCP,low_prec_dur,670,0.21609753004869314,670,-0.1314331301638299
PRCP,glim_1st_class_frac,670,-0.11523690919412567,670,-0.10932413179554122
PRCP,glim_2nd_class_frac,670,0.07552304767726026,670,0.0892190545932723
PRCP,carbonate_rocks_frac,670,-0.09937459488700426,670,-0.08116307879086149
PRCP,geol_porostiy,667,0.037937824681877716,667,-0.029501052119064675
PRCP,geol_permeability,670,0.004063598283597543,670,-0.07826021497448005
PRCP,q_mean,669,0.025573091689020774,669,0.3876849501511715
PRCP,runoff_ratio,669,0.07435472592493977,669,0.3993251696584298
PRCP,slope_fdc,669,-0.07338073374599208,669,0.2119806132884341
PRCP,baseflow_index,670,0.11126534627651331,670,0.12356532313032874
PRCP,stream_elas,669,0.016431991492268896,669,-0.19731750252683078
PRCP,q5,669,-0.02150652933042198,669,0.24837027237658021
PRCP,q95,669,0.059516293287652275,669,0.43979275899332004
PRCP,high_q_freq,669,0.1024471019816818,669,-0.08200248435594312
PRCP,high_q_dur,669,0.25346771006721497,669,-0.07503471801393985
PRCP,low_q_freq,669,0.039885180175169836,669,-0.09050915019237135
PRCP,low_q_dur,669,0.12939069525943062,669,-0.03420083620751551
PRCP,zero_q_freq,669,0.044637161368105874,669,-0.15083483782301163
PRCP,hfd_mean,669,0.16330280679568426,669,-0.12812160807413253
PRCP,soil_depth_pelletier,670,-0.2629523229370502,670,-0.011859219423387671
PRCP,soil_depth_statsgo,670,-0.2490007779838608,670,-0.010058222235332082
PRCP,soil_porosity,670,-0.05402976253754983,670,0.01791488790921081
PRCP,soil_conductivity,670,-0.03406881856522964,670,0.028180547564751034
PRCP,max_water_content,670,-0.25781685384027764,670,-0.008280937644550401
PRCP,sand_frac,670,-0.05901936384683266,670,0.034528419791131776
PRCP,silt_frac,670,-0.00024124003310079922,670,0.10675118205852392
PRCP,clay_frac,670,-0.03521462262551624,670,-0.1422156008568315
PRCP,water_frac,670,0.0379103620441443,670,0.027344789537612685
PRCP,organic_frac,670,-0.09662635048175508,670,0.02789519131720795
PRCP,other_frac,670,0.10393345680465021,670,0.013927873108707233
PRCP,elev_mean,670,0.41657603496889817,670,0.08213680220178543
PRCP,slope_mean,670,0.31404292535100453,670,0.23547123126052294
PRCP,area_gages2,670,-0.05572272914106906,670,0.05639915903553082
PRCP,area_geospa_fabric,670,-0.04782933736486405,670,0.056067837199316614
PRCP,frac_forest,670,-0.08100154403530394,670,0.2212849159805068
PRCP,lai_max,670,-0.24481257235714962,670,0.10197637394538629
PRCP,lai_diff,670,-0.2855908361136231,670,-0.0061883331100187015
PRCP,gvf_max,670,-0.2663343990888498,670,0.1418116770901085
PRCP,gvf_diff,670,-0.2832110277066454,670,-0.13205354153994836
PRCP,dom_land_cover_frac,670,0.06085983886227114,670,0.10761371847758076
PRCP,root_depth_50,646,-0.332896943669527,646,0.018951346102403014
PRCP,root_depth_99,646,-0.14970090249556423,646,-0.011115704550563238
SRAD,p_mean,653,-0.00448485952445957,653,0.3793071194525224
SRAD,pet_mean,653,-0.19436751426002807,653,-0.22505189423469174
SRAD,p_seasonality,653,-0.1388948770442806,653,-0.42573427359063815
SRAD,frac_snow,653,0.16960210543779924,653,0.26903262182495336
SRAD,aridity,653,0.012711469494097634,653,-0.22309149351479468
SRAD,high_prec_freq,653,-0.10354479233326538,653,-0.45771886060180184
SRAD,high_prec_dur,653,0.0969522902145618,653,0.27700811643384715
SRAD,low_prec_freq,653,-0.06339398451265851,653,-0.41373409183651355
SRAD,low_prec_dur,653,0.03839392881935513,653,-0.056327726716524466
SRAD,glim_1st_class_frac,653,-0.06333702148742451,653,-0.19940347870381508
