forcing,attribute,n,r,abs_r,rank
PRCP,q95,631,0.6274441048402353,0.6274441048402353,1
PRCP,q_mean,631,0.6115982764735018,0.6115982764735018,2
PRCP,p_mean,632,0.5845321814781208,0.5845321814781208,3
PRCP,runoff_ratio,631,0.44446188700243705,0.44446188700243705,4
PRCP,low_prec_freq,632,-0.411223403601254,0.411223403601254,5
PRCP,q5,631,0.3924912302259626,0.3924912302259626,6
PRCP,high_prec_freq,632,-0.38203966800582045,0.38203966800582045,7
PRCP,p_seasonality,632,-0.36501550881113487,0.36501550881113487,8
PRCP,hfd_mean,631,-0.3601175362832041,0.3601175362832041,9
PRCP,aridity,632,-0.3374759570962589,0.3374759570962589,10
PRCP,slope_fdc,631,0.28133667126434436,0.28133667126434436,11
PRCP,gvf_diff,632,-0.25411412228083957,0.25411412228083957,12
PRCP,high_prec_dur,632,0.24431832968483674,0.24431832968483674,13
PRCP,gvf_max,632,0.2239339033292294,0.2239339033292294,14
PRCP,frac_forest,632,0.21491176174709598,0.21491176174709598,15
PRCP,pet_mean,632,-0.2066446937803577,0.2066446937803577,16
PRCP,slope_mean,632,0.19077156833299866,0.19077156833299866,17
PRCP,stream_elas,631,-0.18327749881692387,0.18327749881692387,18
PRCP,lai_max,632,0.1715284917218602,0.1715284917218602,19
PRCP,elev_mean,632,-0.1582393340685998,0.1582393340685998,20
PRCP,high_q_dur,631,-0.15648898029373973,0.15648898029373973,21
PRCP,glim_2nd_class_frac,632,0.14635966947174037,0.14635966947174037,22
PRCP,glim_1st_class_frac,632,-0.1306598507599905,0.1306598507599905,23
PRCP,carbonate_rocks_frac,632,-0.12075933418192583,0.12075933418192583,24
PRCP,high_q_freq,631,-0.10899092174227387,0.10899092174227387,25
PRCP,zero_q_freq,631,-0.10828604818663934,0.10828604818663934,26
PRCP,frac_snow,632,-0.09286054749750543,0.09286054749750543,27
PRCP,geol_porostiy,629,0.08994838786594814,0.08994838786594814,28
PRCP,root_depth_50,610,0.08350150105709099,0.08350150105709099,29
PRCP,clay_frac,632,-0.08304108030850213,0.08304108030850213,30
PRCP,soil_conductivity,632,0.0805537815221203,0.0805537815221203,31
