forcing,rank,attribute,n_tau,r_tau,abs_r_tau
PRCP,1,elev_mean,670,0.41657603496889817,0.41657603496889817
PRCP,2,root_depth_50,646,-0.332896943669527,0.332896943669527
PRCP,3,slope_mean,670,0.31404292535100453,0.31404292535100453
PRCP,4,frac_snow,670,0.30537977602729416,0.30537977602729416
PRCP,5,lai_diff,670,-0.2855908361136231,0.2855908361136231
PRCP,6,gvf_diff,670,-0.2832110277066454,0.2832110277066454
PRCP,7,high_prec_dur,670,0.2823297345650442,0.2823297345650442
PRCP,8,gvf_max,670,-0.2663343990888498,0.2663343990888498
PRCP,9,soil_depth_pelletier,670,-0.2629523229370502,0.2629523229370502
PRCP,10,aridity,670,0.2593891223790858,0.2593891223790858
PRCP,11,max_water_content,670,-0.25781685384027764,0.25781685384027764
PRCP,12,p_seasonality,670,-0.2555044389308563,0.2555044389308563
PRCP,13,high_q_dur,669,0.25346771006721497,0.25346771006721497
PRCP,14,soil_depth_statsgo,670,-0.2490007779838608,0.2490007779838608
PRCP,15,lai_max,670,-0.24481257235714962,0.24481257235714962
PRCP,16,low_prec_dur,670,0.21609753004869314,0.21609753004869314
PRCP,17,hfd_mean,669,0.16330280679568426,0.16330280679568426
PRCP,18,root_depth_99,646,-0.14970090249556423,0.14970090249556423
PRCP,19,low_q_dur,669,0.12939069525943062,0.12939069525943062
PRCP,20,glim_1st_class_frac,670,-0.11523690919412567,0.11523690919412567
PRCP,21,p_mean,670,-0.11268851932350551,0.11268851932350551
PRCP,22,baseflow_index,670,0.11126534627651331,0.11126534627651331
PRCP,23,other_frac,670,0.10393345680465021,0.10393345680465021
PRCP,24,high_q_freq,669,0.1024471019816818,0.1024471019816818
PRCP,25,pet_mean,670,0.10127077032968021,0.10127077032968021
PRCP,26,carbonate_rocks_frac,670,-0.09937459488700426,0.09937459488700426
PRCP,27,low_prec_freq,670,0.09772795538700796,0.09772795538700796
PRCP,28,organic_frac,670,-0.09662635048175508,0.09662635048175508
PRCP,29,frac_forest,670,-0.08100154403530394,0.08100154403530394
PRCP,30,glim_2nd_class_frac,670,0.07552304767726026,0.07552304767726026
PRCP,31,runoff_ratio,669,0.07435472592493977,0.07435472592493977
PRCP,32,slope_fdc,669,-0.07338073374599208,0.07338073374599208
PRCP,33,dom_land_cover_frac,670,0.06085983886227114,0.06085983886227114
PRCP,34,q95,669,0.059516293287652275,0.059516293287652275
PRCP,35,sand_frac,670,-0.05901936384683266,0.05901936384683266
PRCP,36,area_gages2,670,-0.05572272914106906,0.05572272914106906
PRCP,37,soil_porosity,670,-0.05402976253754983,0.05402976253754983
PRCP,38,area_geospa_fabric,670,-0.04782933736486405,0.04782933736486405
PRCP,39,zero_q_freq,669,0.044637161368105874,0.044637161368105874
PRCP,40,low_q_freq,669,0.039885180175169836,0.039885180175169836
PRCP,41,geol_porostiy,667,0.037937824681877716,0.037937824681877716
PRCP,42,water_frac,670,0.0379103620441443,0.0379103620441443
PRCP,43,clay_frac,670,-0.03521462262551624,0.03521462262551624
PRCP,44,soil_conductivity,670,-0.03406881856522964,0.03406881856522964
PRCP,45,q_mean,669,0.025573091689020774,0.025573091689020774
PRCP,46,q5,669,-0.02150652933042198,0.02150652933042198
PRCP,47,stream_elas,669,0.016431991492268896,0.016431991492268896
PRCP,48,high_prec_freq,670,0.008435271924372677,0.008435271924372677
PRCP,49,geol_permeability,670,0.004063598283597543,0.004063598283597543
PRCP,50,silt_frac,670,-0.00024124003310079922,0.00024124003310079922
SRAD,1,sand_frac,653,-0.22240144970060288,0.22240144970060288
SRAD,2,silt_frac,653,0.1987759464023498,0.1987759464023498
SRAD,3,slope_mean,653,0.1964965070998798,0.1964965070998798
SRAD,4,pet_mean,653,-0.19436751426002807,0.19436751426002807
SRAD,5,elev_mean,653,0.18125989045176782,0.18125989045176782
SRAD,6,soil_conductivity,653,-0.17901647463761985,0.17901647463761985
SRAD,7,frac_snow,653,0.16960210543779924,0.16960210543779924
SRAD,8,geol_permeability,653,-0.16255970159664185,0.16255970159664185
SRAD,9,soil_porosity,653,0.162382778696333,0.162382778696333
SRAD,10,soil_depth_pelletier,653,-0.1511703907478441,0.1511703907478441
SRAD,11,soil_depth_statsgo,653,-0.14474706575843782,0.14474706575843782
SRAD,12,dom_land_cover_frac,653,0.14334564573639838,0.14334564573639838
SRAD,13,max_water_content,653,-0.13956404033215325,0.13956404033215325
SRAD,14,p_seasonality,653,-0.1388948770442806,0.1388948770442806
SRAD,15,root_depth_50,629,-0.13561864233061582,0.13561864233061582
SRAD,16,runoff_ratio,652,0.12190011046464959,0.12190011046464959
SRAD,17,q95,652,0.11031577141772342,0.11031577141772342
SRAD,18,high_prec_freq,653,-0.10354479233326538,0.10354479233326538
SRAD,19,q_mean,652,0.09915228093537737,0.09915228093537737
SRAD,20,high_prec_dur,653,0.0969522902145618,0.0969522902145618
SRAD,21,carbonate_rocks_frac,653,-0.09215866766740659,0.09215866766740659
SRAD,22,other_frac,653,0.08775825099581275,0.08775825099581275
SRAD,23,stream_elas,652,-0.08235195026936733,0.08235195026936733
SRAD,24,low_prec_freq,653,-0.06339398451265851,0.06339398451265851
SRAD,25,glim_1st_class_frac,653,-0.06333702148742451,0.06333702148742451
SRAD,26,root_depth_99,629,-0.06332278866575067,0.06332278866575067
SRAD,27,geol_porostiy,650,-0.05482567488973243,0.05482567488973243
SRAD,28,high_q_dur,652,0.051474331334730825,0.051474331334730825
SRAD,29,lai_max,653,-0.048820998872845384,0.048820998872845384
SRAD,30,high_q_freq,652,0.04374772245618367,0.04374772245618367
SRAD,31,slope_fdc,652,0.042427796397208783,0.042427796397208783
SRAD,32,lai_diff,653,-0.040400132532090696,0.040400132532090696
SRAD,33,low_prec_dur,653,0.03839392881935513,0.03839392881935513
SRAD,34,gvf_diff,653,0.030352170023469578,0.030352170023469578
SRAD,35,q5,652,0.028727422374469236,0.028727422374469236
SRAD,36,zero_q_freq,652,0.027876200409285377,0.027876200409285377
SRAD,37,frac_forest,653,0.02661632861317339,0.02661632861317339
SRAD,38,gvf_max,653,-0.025521327657418984,0.025521327657418984
SRAD,39,area_gages2,653,-0.024346517803882594,0.024346517803882594
SRAD,40,area_geospa_fabric,653,-0.022681593481981906,0.022681593481981906
SRAD,41,low_q_dur,652,-0.020832779126594855,0.020832779126594855
SRAD,42,organic_frac,653,-0.020406125892672745,0.020406125892672745
SRAD,43,glim_2nd_class_frac,653,0.0189658611742771,0.0189658611742771
SRAD,44,baseflow_index,653,0.015644646577188767,0.015644646577188767
SRAD,45,aridity,653,0.012711469494097634,0.012711469494097634
SRAD,46,hfd_mean,652,-0.0066034701551905915,0.0066034701551905915
SRAD,47,water_frac,653,0.006594211958405479,0.006594211958405479
SRAD,48,low_q_freq,652,-0.006307561462771498,0.006307561462771498
SRAD,49,p_mean,653,-0.00448485952445957,0.00448485952445957
SRAD,50,clay_frac,653,0.001715536696646489,0.001715536696646489
Tair,1,root_depth_50,569,0.21977206892071238,0.21977206892071238
Tair,2,hfd_mean,592,-0.2019757702908282,0.2019757702908282
Tair,3,slope_mean,593,-0.19294604375774624,0.19294604375774624
Tair,4,lai_diff,593,0.1892260221804496,0.1892260221804496
Tair,5,elev_mean,593,-0.1862187726896483,0.1862187726896483
Tair,6,lai_max,593,0.1781925809367948,0.1781925809367948
Tair,7,frac_snow,593,-0.17509041657753388,0.17509041657753388
Tair,8,glim_1st_class_frac,593,0.1579736000271128,0.1579736000271128
Tair,9,gvf_max,593,0.1541140684699219,0.1541140684699219
Tair,10,high_prec_dur,593,-0.1392459843006398,0.1392459843006398
Tair,11,gvf_diff,593,0.12951747704047453,0.12951747704047453
Tair,12,high_q_dur,592,-0.12386454420398063,0.12386454420398063
