gauge_id,tau_star_PRCP,tau_star_SRAD,tau_star_Tair,tau_star_VP,TE_star_PRCP,TE_star_SRAD,TE_star_Tair,TE_star_VP,n_sig_PRCP,n_sig_SRAD,n_sig_Tair,n_sig_VP
01013500,8.052346797366958,14.034214791874444,15.5307273785577,15.950454783563023,0.0013822612085253553,0.0021888379039871567,0.003326776983645243,0.0021326340083177887,8.0,26.0,30.0,25.0
01022500,6.600208534826697,6.049888834748535,14.907452705899793,15.18719223665834,0.0022546974655117892,0.003143740701909777,0.004955948635666732,0.0043339498275663845,9.0,8.0,30.0,30.0
01030500,5.117754300723596,8.958002748207887,14.064139166462143,14.168114802742656,0.0018923754076091315,0.0026225457378991116,0.0038476591554557275,0.0029055992556016137,13.0,13.0,30.0,29.0
01031500,4.833021844908349,8.549564349410687,15.431131766316792,9.560358233317567,0.0009808948562540418,0.001053382786330057,0.001044635357689648,0.0008850924747414227,6.0,9.0,17.0,6.0
01047000,4.256449802196252,11.636441547397142,17.62206491268528,14.674861218454668,0.0009704067528269137,0.0010121161087403702,0.0010752570549113847,0.0008744533563807044,4.0,9.0,13.0,9.0
01052500,1.4520776113448242,11.344197955224008,15.63072764708592,16.666544522565975,0.0031934497523742333,0.003008941613449211,0.00339372655131397,0.0026275521010639753,2.0,22.0,30.0,25.0
01054200,3.785712477181297,5.798465409688291,15.981910647175372,11.647751285479165,0.0015276017535195499,0.0023448305350713804,0.0027917296271776307,0.0022032703060813636,4.0,5.0,27.0,20.0
01055000,3.7215225188768333,12.291643424137668,15.556203907854693,8.994268999876093,0.0015342616788563666,0.001983397541459675,0.002155989767204723,0.0017251128300314995,6.0,17.0,26.0,4.0
01057000,4.373906261302418,12.822126749981479,18.225207691261243,13.362374241905526,0.000779127296938535,0.001151966335539114,0.00128249898440237,0.0010663640395347743,3.0,12.0,19.0,6.0
01073000,8.43443480992381,2.351695946037172,16.228935340166995,12.889007798896797,0.0012272214667190915,0.0021467141901427996,0.0021451089771422475,0.0018817347860333206,5.0,2.0,17.0,3.0
01078000,6.437769925912555,7.641152325149514,16.002611490276532,16.062075041444224,0.0013279411696938777,0.002258362634536294,0.002721479903082472,0.0021883283042454763,7.0,9.0,29.0,28.0
01118300,5.962209856637723,30.0,18.716865296891424,24.567681392310934,0.0008969143842537064,0.0014043736566376,0.00153622393440162,0.001481195264168229,4.0,1.0,11.0,5.0
01121000,9.664794320643576,25.99906220259005,18.08526908279561,19.52081901813415,0.001381369853807522,0.0021899722360573808,0.002395429852021642,0.002328959895325187,7.0,2.0,23.0,19.0
01123000,7.129272652595673,15.008579948564856,16.763458069379077,17.893042358304964,0.001424834177118846,0.001960670379337486,0.002174932947570704,0.002061717108548743,5.0,3.0,25.0,24.0
01134500,1.2899687566502265,8.52710985066073,15.708663528962102,16.874893990839933,0.0046885227939582,0.0025357329439489353,0.0029273672048012764,0.0023464605323909268,2.0,14.0,28.0,21.0
01137500,2.635675676025054,9.687726060392658,15.336331606297573,14.794930395916884,0.0022896891739231295,0.0032907891406046765,0.003529942835937723,0.0028641398155269545,3.0,17.0,30.0,29.0
01139000,4.3635138513874425,11.475802926271202,15.51106165468407,16.019809444233392,0.0020764204781880844,0.003733663506311302,0.0049663873166269365,0.0041804536008197,3.0,22.0,30.0,30.0
01139800,5.671593448412581,13.3375175098592,16.19697278202459,16.813437291102783,0.0016988333493848375,0.003416388702328808,0.005923668101159255,0.004656898296602479,4.0,29.0,30.0,30.0
01142500,6.447686023961628,9.881259668009575,15.941437072704838,16.73810395592989,0.0009635692981513783,0.001721623931811499,0.002508516285617564,0.002107124302790388,4.0,12.0,30.0,29.0
01144000,7.068550134598897,11.903265418049429,15.205647281797129,16.10757762718126,0.0012282085837492848,0.001921650872448711,0.0028895033144314968,0.0023088381431200958,3.0,19.0,30.0,28.0
01162500,6.131244140694013,9.469821128395271,15.570995545288726,16.67807171524874,0.0014596188269563905,0.002256898751065428,0.002993656100793242,0.0028747247072818463,9.0,6.0,30.0,28.0
01169000,2.9841921274517875,8.202064255621334,15.206267778971368,17.660551901234133,0.0008529612643105444,0.0017315595836552716,0.0018737191022989738,0.0016530142171300919,3.0,5.0,22.0,15.0
01170100,6.04739320718481,4.510287903138718,15.311790210652072,16.359515317029384,0.001037221560923296,0.001975285014179352,0.00240785544327816,0.0022188845005434435,4.0,5.0,30.0,27.0
01181000,5.0,,21.697494481304616,17.6598621109592,0.0006664348392192,,0.0014966741569443652,0.0013541120913322146,1.0,,4.0,4.0
01187300,6.51796837769028,,7.081030786279864,8.0,0.0010485860218881345,,0.0017695667652977381,0.0016219220513133,4.0,,3.0,1.0
01195100,4.49074000569951,2.2958419361410405,16.0,,0.0009667237026833625,0.001425610039097,0.0012958861575541,,5.0,2.0,1.0,
01333000,10.467887948913823,13.497364850074392,15.86877944233489,16.05007796618553,0.001671390315811642,0.003111016291172774,0.005649938508093198,0.005213856139431255,5.0,2.0,30.0,30.0
01350000,15.954710869780461,12.0,17.233159693489675,12.046365923742389,0.0006062200630733546,0.0012702598372992,0.0012497428075428207,0.0010374262472897416,2.0,1.0,8.0,2.0
