attribute,mean_robust,mean_fragile,diff,effect_size,abs_effect,n_robust,n_fragile
soil_depth_pelletier,14.651968645226049,6.227372639488176,8.424596005737872,0.5467234953033988,0.5467234953033988,370,301
gvf_diff,0.2895962087867284,0.3635010390671613,-0.07390483028043288,-0.5131854122525692,0.5131854122525692,370,301
gauge_lon,-98.53631348648648,-92.41385697674419,-6.1224565097422925,-0.3855058851307378,0.3855058851307378,370,301
soil_conductivity,1.9899249688576417,1.433950889468205,0.5559740793894368,0.3832457257814517,0.3832457257814517,370,301
sand_frac,38.97356805315844,33.38856296793776,5.585005085220679,0.3692454925517654,0.3692454925517654,370,301
geol_permeability,-13.696800810810812,-14.11791196013289,0.42111114932207805,0.36107808618674236,0.36107808618674236,370,301
high_prec_dur,1.379897964683651,1.312885125350878,0.06701283933277291,0.35573529569810536,0.35573529569810536,370,301
silt_frac,31.797332036284864,36.392394734624936,-4.595062698340072,-0.3535952253248156,0.3535952253248156,370,301
lai_diff,2.23941742209204,2.7057071188725272,-0.46628969678048726,-0.3513570709237174,0.3513570709237174,370,301
soil_depth_statsgo,1.3321806001554897,1.2452222749351767,0.08695832522031299,0.32381485834761176,0.32381485834761176,370,301
p_mean,3.450274373346652,3.021029850305052,0.4292445230416,0.31427371236287077,0.31427371236287077,370,301
geol_porostiy,0.1350733695652174,0.11570033333333332,0.019373036231884078,0.28033048927088716,0.28033048927088716,368,300
q_mean,1.6683754986991517,1.278862343558591,0.3895131551405606,0.26195905550962717,0.26195905550962717,370,300
max_water_content,0.5448560098458329,0.5073506073612255,0.03750540248460743,0.25728825547870227,0.25728825547870227,370,301
q95,5.589436267735084,4.399239553119876,1.1901967146152082,0.2486050662676575,0.2486050662676575,370,300
q5,0.20060877985207495,0.13627643355321395,0.064332346298861,0.24738656633254358,0.24738656633254358,370,300
glim_1st_class_frac,0.7642065896699052,0.8117776070523502,-0.04757101738244507,-0.23748837491451513,0.23748837491451513,370,301
glim_2nd_class_frac,0.17044004704168986,0.13697035483648604,0.03346969220520382,0.23474604264110352,0.23474604264110352,370,301
soil_porosity,0.44027227502340693,0.44550216578238766,-0.005229890758980726,-0.2276099295509811,0.2276099295509811,370,301
organic_frac,0.9244990657827851,0.1828615134592529,0.7416375523235321,0.20079489003863496,0.20079489003863496,370,301
pet_mean,2.830531458072941,2.7343037307047977,0.09622772736814333,0.17508836087057067,0.17508836087057067,370,301
area_gages2,917.7811351351352,638.7631229235881,279.0180122115471,0.1663897285521112,0.1663897285521112,370,301
elev_mean,705.0444054054054,826.2646179401994,-121.22021253479397,-0.15457289772570165,0.15457289772570165,370,301
area_geospa_fabric,924.5421891891891,664.915415282392,259.6267739067971,0.15392742128663958,0.15392742128663958,370,301
lai_max,3.11193604208508,3.34385202209509,-0.2319159800100099,-0.1523190155879996,0.1523190155879996,370,301
p_seasonality,-0.07649488416249785,0.0020085858671579243,-0.07850347002965577,-0.1504830535904367,0.1504830535904367,370,301
frac_snow,0.16502589690500288,0.19306558771881124,-0.02803969081380836,-0.13810449505271846,0.13810449505271846,370,301
frac_forest,0.617954054054054,0.6660727574750831,-0.048118703421029085,-0.12921465707535731,0.12921465707535731,370,301
low_prec_dur,6.107808795673189,5.76445705750808,0.3433517381651088,0.10626150308324946,0.10626150308324946,370,301
dom_land_cover_frac,0.8020144763709952,0.8197464813752606,-0.017732005004265416,-0.09655182659680288,0.09655182659680288,370,301
gvf_max,0.7150709639953963,0.7307499309559196,-0.01567896696052329,-0.0928732403076609,0.0928732403076609,370,301
aridity,1.0313426651209316,1.0874589612635206,-0.05611629614258895,-0.09069569639660538,0.09069569639660538,370,301
gauge_lat,39.05295632432433,39.480004119601325,-0.427047795276998,-0.08286325739536632,0.08286325739536632,370,301
stream_elas,1.8584213747771026,1.7997752388107362,0.058646135966366364,0.07588196414961784,0.07588196414961784,370,300
carbonate_rocks_frac,0.1099364165750797,0.12956752713557815,-0.019631110560498446,-0.07474413779799442,0.07474413779799442,370,301
high_q_dur,6.579572846296043,7.324570821214035,-0.7449979749179922,-0.07338216151060896,0.07338216151060896,370,300
slope_mean,44.66882094594593,48.07171920265781,-3.402898256711879,-0.07284565867474128,0.07284565867474128,370,301
root_depth_99,1.8202103196958372,1.8410083873904444,-0.020798067694607125,-0.0690086854302364,0.0690086854302364,353,294
runoff_ratio,0.3937833749888656,0.37895921708532854,0.014824157903537083,0.06426511291733733,0.06426511291733733,370,300
baseflow_index,0.49516191179528607,0.48688090008048446,0.008281011714801612,0.051335533463930244,0.051335533463930244,370,301
hfd_mean,181.76137268847796,183.45813762347044,-1.6967649349924727,-0.05087868914517336,0.05087868914517336,370,300
other_frac,9.47563889076491,10.25377474011908,-0.7781358493541699,-0.046081765304584126,0.046081765304584126,370,301
zero_q_freq,0.03189633164992507,0.03693634496919918,-0.00504001331927411,-0.043809169884780626,0.043809169884780626,370,300
water_frac,0.08574131977621297,0.12122641941842378,-0.03548509964221082,-0.03638257051484368,0.03638257051484368,370,301
slope_fdc,1.2431612041171567,1.2298903566123318,0.013270847504824879,0.026219851132797893,0.026219851132797893,370,300
root_depth_50,0.17848674575894227,0.17920787534767105,-0.000721129588728775,-0.023285587218462835,0.023285587218462835,353,294
high_prec_freq,20.96527027027027,20.88887043189369,0.07639983837658093,0.01694884512804718,0.01694884512804718,370,301
clay_frac,19.821518615462146,19.9649459550755,-0.1434273396133534,-0.015456961588261783,0.015456961588261783,370,301
low_q_freq,108.18060378671032,106.92707827674585,1.2535255099644758,0.015249651360218329,0.015249651360218329,370,300
high_q_freq,25.921228998737934,25.52701802830182,0.394210970436113,0.013542152767600239,0.013542152767600239,370,300
low_q_dur,22.409573103042447,22.127980157551768,0.28159294549067937,0.0128316824753666,0.0128316824753666,370,300
low_prec_freq,254.66837837837838,254.6214285714286,0.046949806949783124,0.0013407853796294244,0.0013407853796294244,370,301
