attribute,median_robust,median_fragile,diff_median,median_effect,abs_median_effect
gvf_diff,0.25694191920694454,0.414105282966531,-0.15716336375958645,-0.6111112466644888,0.6111112466644888
soil_depth_statsgo,1.494749309873595,1.35169263423423,0.14305667563936497,0.369105980761987,0.369105980761987
high_prec_dur,1.324770198355105,1.24390243902439,0.080867759330715,0.3572588703785104,0.3572588703785104
slope_mean,14.39467,37.27533,-22.88066,-0.3507025324766966,0.3507025324766966
lai_diff,2.140508017170215,2.93014359029003,-0.7896355731198148,-0.33784285296636263,0.33784285296636263
max_water_content,0.587849457731516,0.5249551074416,0.06289435028991597,0.2902681969982958,0.2902681969982958
area_gages2,421.485,241.51,179.97500000000002,0.2852563404056354,0.2852563404056354
lai_max,3.143003004188775,3.9462546631322,-0.8032516589434251,-0.2828803614653812,0.2828803614653812
geol_permeability,-13.654,-14.1,0.44599999999999973,0.2799221741040604,0.2799221741040604
area_geospa_fabric,426.745,249.16,177.585,0.275841447668605,0.275841447668605
low_q_dur,17.8897478680015,13.7082082082082,4.1815396597933,0.26676338820745604,0.26676338820745604
frac_snow,0.08242355832631895,0.130491593433601,-0.04806803510728205,-0.2627181281016179,0.2627181281016179
silt_frac,31.8379535115243,36.7064770868379,-4.868523575313599,-0.2476391064331266,0.2476391064331266
glim_2nd_class_frac,0.157500504411698,0.0952784034747456,0.06222210093695239,0.24738145143702733,0.24738145143702733
gauge_lon,-95.068385,-88.28806,-6.780325000000005,-0.24346968972343694,0.24346968972343694
soil_porosity,0.4396478566086695,0.445119707829219,-0.005471851220549495,-0.220254107379471,0.220254107379471
glim_1st_class_frac,0.7884904132124846,0.87144277772791,-0.08295236451542543,-0.2197022304712958,0.2197022304712958
gvf_max,0.7614364544327865,0.815122726646121,-0.05368627221333444,-0.21294474527097576,0.21294474527097576
high_prec_freq,22.424999999999997,21.25,1.1749999999999972,0.2119503945885,0.2119503945885
elev_mean,395.685,528.16,-132.47499999999997,-0.19614919776495776,0.19614919776495776
sand_frac,36.896071518132246,33.3490780009397,3.546993517192547,0.17759699423179576,0.17759699423179576
soil_conductivity,1.44716913625167,1.26299537359136,0.18417376266031016,0.17747098787718893,0.17747098787718893
low_prec_freq,259.6,251.6,8.000000000000028,0.17507864861168157,0.17507864861168157
low_prec_dur,5.15252930959618,4.73080397470641,0.4217253348897705,0.16556567984168213,0.16556567984168213
pet_mean,2.7407813210130048,2.61184466803559,0.12893665297741475,0.16248729907910395,0.16248729907910395
geol_porostiy,0.1378,0.12165000000000001,0.016149999999999998,0.1420404573438874,0.1420404573438874
runoff_ratio,0.33719816990749196,0.367812312533852,-0.03061414262636003,-0.11332301629853112,0.11332301629853112
high_q_dur,3.16809116809117,2.530582114735655,0.6375090533555148,0.11068462706359607,0.11068462706359607
frac_forest,0.77755,0.8541,-0.07655,-0.11006074548003308,0.11006074548003308
low_q_freq,102.125,89.1,13.025000000000006,0.10421563234485179,0.10421563234485179
q_mean,1.084237145388565,1.200594640709495,-0.11635749532092987,-0.10322082809982404,0.10322082809982404
aridity,0.8784632536584964,0.824435432263722,0.05402782139477447,0.09469286104424796,0.09469286104424796
p_seasonality,0.05079429463062765,0.0995538398003471,-0.04875954516971945,-0.09305115211246277,0.09305115211246277
stream_elas,1.74581929676359,1.66816572635413,0.07765357040945986,0.08806124852036687,0.08806124852036687
q95,3.6465121895179653,3.99573730948494,-0.3492251199669747,-0.08332308171815503,0.08332308171815503
root_depth_50,0.179999999999921,0.18201157534246898,-0.0020115753425479777,-0.08141880678837508,0.08141880678837508
soil_depth_pelletier,2.3872519026247403,1.07180756986204,1.3154443327627003,0.0799576588019971,0.0799576588019971
hfd_mean,175.475,172.0,3.4749999999999943,0.07983917288914405,0.07983917288914405
gauge_lat,39.13306,39.57006,-0.4369999999999976,-0.0590594911186922,0.0590594911186922
clay_frac,18.87126380340855,18.2928396800534,0.5784241233551484,0.05214304716927235,0.05214304716927235
slope_fdc,1.26157688031503,1.298595930179895,-0.03701904986486504,-0.05077454167037669,0.05077454167037669
high_q_freq,15.8,14.425,1.375,0.046679397411415226,0.046679397411415226
p_mean,3.26010403832991,3.20091170431211,0.0591923340178,0.041529902442189674,0.041529902442189674
q5,0.07688134866096005,0.0850577583246347,-0.008176409663674652,-0.038723977612834005,0.038723977612834005
baseflow_index,0.509518745133166,0.502216261522576,0.007302483610589938,0.03620871249334768,0.03620871249334768
dom_land_cover_frac,0.8543586859267875,0.86238249316826,-0.008023807241472447,-0.02332034269846137,0.02332034269846137
root_depth_99,1.79517387619675,1.8011161485772549,-0.0059422723805049316,-0.012564680817855313,0.012564680817855313
other_frac,1.276602300785275,1.30943010224805,-0.032827801462774975,-0.00280889014871709,0.00280889014871709
carbonate_rocks_frac,0.0,0.0,0.0,0.0,0.0
zero_q_freq,0.0,0.0,0.0,0.0,0.0
water_frac,0.0,0.0,0.0,,
organic_frac,0.0,0.0,0.0,,
