gauge_id,suffix,n_rows,pet_nan,q_nan,status
01013500,05,12510,0,0,saved
01022500,05,12510,0,0,saved
01030500,05,12510,0,0,saved
01031500,05,12510,0,0,saved
01047000,05,12510,0,0,saved
01052500,05,12510,0,0,saved
01054200,05,12510,0,0,saved
01055000,05,12510,0,0,saved
01057000,05,12510,0,0,saved
01073000,05,12510,0,0,saved
01078000,05,12510,0,0,saved
01118300,05,12510,0,0,saved
01121000,05,12510,0,0,saved
01123000,05,12510,0,0,saved
01134500,05,12510,0,0,saved
01137500,05,12510,0,0,saved
01139000,05,12510,0,0,saved
01139800,05,12510,0,0,saved
01142500,05,12510,0,0,saved
01144000,05,12510,0,0,saved
01162500,05,12510,0,0,saved
01169000,05,12510,0,0,saved
01170100,05,12510,0,0,saved
01181000,05,12510,0,0,saved
01187300,05,12510,0,0,saved
01195100,05,11780,0,0,saved
04296000,05,12510,0,0,saved
01013500,05,12510,0,0,saved
01022500,05,12510,0,0,saved
01030500,05,12510,0,0,saved
01031500,05,12510,0,0,saved
01047000,05,12510,0,0,saved
01052500,05,12510,0,0,saved
01054200,05,12510,0,0,saved
01055000,05,12510,0,0,saved
01057000,05,12510,0,0,saved
01073000,05,12510,0,0,saved
01078000,05,12510,0,0,saved
01118300,05,12510,0,0,saved
01121000,05,12510,0,0,saved
01123000,05,12510,0,0,saved
01134500,05,12510,0,0,saved
01137500,05,12510,0,0,saved
01139000,05,12510,0,0,saved
01139800,05,12510,0,0,saved
01142500,05,12510,0,0,saved
01144000,05,12510,0,0,saved
01162500,05,12510,0,0,saved
01169000,05,12510,0,0,saved
01170100,05,12510,0,0,saved
01181000,05,12510,0,0,saved
01187300,05,12510,0,0,saved
01195100,05,11780,0,0,saved
01333000,05,12510,0,0,saved
01350000,05,12510,0,0,saved
01350080,05,10319,0,0,saved
01350140,05,12510,0,0,saved
01365000,05,12510,0,0,saved
01411300,05,12510,0,0,saved
01413500,05,12510,0,0,saved
01414500,05,12510,0,0,saved
01415000,05,12510,0,0,saved
01423000,05,12510,0,0,saved
01434025,05,11415,0,0,saved
01435000,05,12510,0,0,saved
01439500,05,12510,0,0,saved
01440000,05,12510,0,0,saved
01440400,05,12510,0,0,saved
01451800,05,12510,0,0,saved
01466500,05,12510,0,0,saved
01484100,05,12510,0,0,saved
01485500,05,12510,0,0,saved
01486000,05,12510,0,0,saved
01487000,05,12510,0,0,saved
01491000,05,12510,0,0,saved
01510000,05,12510,0,0,saved
01516500,05,12510,0,0,saved
01518862,05,11415,0,0,saved
01532000,05,12510,0,0,saved
01539000,05,12510,0,0,saved
01542810,05,12510,0,0,saved
01543000,05,12510,0,0,saved
01543500,05,12510,0,0,saved
01544500,05,12510,0,0,saved
01545600,05,12510,0,0,saved
01547700,05,12510,0,0,saved
01548500,05,12510,0,0,saved
01549500,05,12510,0,0,saved
01550000,05,12510,0,0,saved
01552000,05,12510,0,0,saved
01552500,05,12510,0,0,saved
01557500,05,12510,0,0,saved
01567500,05,12510,0,0,saved
01568000,05,12510,0,0,saved
01580000,05,12510,0,0,saved
01583500,05,12510,0,0,saved
01586610,05,11415,0,0,saved
01591400,05,12510,0,0,saved
01594950,05,9954,0,0,saved
01596500,05,12510,0,0,saved
01605500,05,12510,0,0,saved
01606500,05,12510,0,0,saved
01613050,05,12510,0,0,saved
01620500,05,12510,0,0,saved
01632000,05,12510,0,0,saved
01632900,05,12510,0,0,saved
01634500,05,12510,0,0,saved
01638480,05,12510,0,0,saved
01639500,05,12510,0,0,saved
01644000,05,12510,0,0,saved
01658500,05,12510,0,0,saved
01664000,05,12510,0,0,saved
01666500,05,12510,0,0,saved
01667500,05,12510,0,0,saved
01669000,05,12510,0,0,saved
01669520,05,12145,0,0,saved
02011400,05,12510,0,0,saved
02011460,05,12510,0,0,saved
02013000,05,12510,0,0,saved
02014000,05,12510,0,0,saved
02015700,05,12510,0,0,saved
02016000,05,12510,0,0,saved
02017500,05,12510,0,0,saved
02018000,05,12510,0,0,saved
02027000,05,12510,0,0,saved
02027500,05,12510,0,0,saved
02028500,05,12510,0,0,saved
02038850,05,12510,0,0,saved
04296000,05,12510,0,0,saved
01013500,05,12510,0,0,saved
